CANDIDATE,PARTY,REGION,SCORE
amuriat_oboi_patrick,FDC,Northern,47912
kabuleeta_kiiza_joseph,Independent,Northern,14180
kalembe_nancy_linda,Independent,Northern,13438
katumba_john,Independent,Northern,8929
kyagulanyi_ssentamu_robert,NUP,Northern,389584
mao_norbert,DP,Northern,40688
mayamba_la_willy,Independent,Northern,8792
mugisha_muntu_gregg,ANT,Northern,14324
mwesigye_fred,Independent,Northern,9226
tumukunde_henry_kakurugu,Independent,Northern,19787
yoweri_museveni_tibuhaburwa_kaguta,NRM,Northern,1219352
amuriat_oboi_patrick,FDC,Central,17444
kabuleeta_kiiza_joseph,Independent,Central,4270
kalembe_nancy_linda,Independent,Central,4609
katumba_john,Independent,Central,8559
kyagulanyi_ssentamu_robert,NUP,Central,1920485
mao_norbert,DP,Central,6233
mayamba_la_willy,Independent,Central,1088
mugisha_muntu_gregg,ANT,Central,11620
mwesigye_fred,Independent,Central,2916
tumukunde_henry_kakurugu,Independent,Central,5603
yoweri_museveni_tibuhaburwa_kaguta,NRM,Central,1005581
amuriat_oboi_patrick,FDC,Eastern,209113
kabuleeta_kiiza_joseph,Independent,Eastern,10532
kalembe_nancy_linda,Independent,Eastern,14365
katumba_john,Independent,Eastern,7133
kyagulanyi_ssentamu_robert,NUP,Eastern,901744
mao_norbert,DP,Eastern,6481
mayamba_la_willy,Independent,Eastern,3646
mugisha_muntu_gregg,ANT,Eastern,8483
mwesigye_fred,Independent,Eastern,7682
tumukunde_henry_kakurugu,Independent,Eastern,11533
yoweri_museveni_tibuhaburwa_kaguta,NRM,Eastern,1404092
amuriat_oboi_patrick,FDC,Western,63120
kabuleeta_kiiza_joseph,Independent,Western,16442
kalembe_nancy_linda,Independent,Western,6360
katumba_john,Independent,Western,12933
kyagulanyi_ssentamu_robert,NUP,Western,419624
mao_norbert,DP,Western,4280
mayamba_la_willy,Independent,Western,1488
mugisha_muntu_gregg,ANT,Western,33147
mwesigye_fred,Independent,Western,5659
tumukunde_henry_kakurugu,Independent,Western,14469
yoweri_museveni_tibuhaburwa_kaguta,NRM,Western,2413873
