Candidate,Party,Northern,Eastern,Western,Cerntral
Amuriat_FDC,FDC,47912,209113,63120,17444
Kabuleeta_IND,Independent,14180,10532,16442,4270
Kalembe_IND,Independent,13438,14365,6360,4609
Katumba_IND,Independent,8929,7133,12933,8559
Kyagulanyi_NUP,NUP,389584,901744,419624,1920485
Mao_DP,DP,40688,6481,4280,6233
Mayamba_IND,Independent,8792,3646,1488,1088
Muntu_ANT,ANT,14324,8483,33147,11620
Mwesigye_IND,Independent,9226,7682,5659,2916
Tumukunde_IND,Independent,19787,11533,14469,5603
Museveni_NRM,NRM,1219352,1404092,2413873,1005581
