Region,Candidate,Count
Northern,Amuriat_FDC,47912
Eastern,Amuriat_FDC,209113
Western,Amuriat_FDC,63120
Central,Amuriat_FDC,17444
Northern,Kabuleeta_IND,14180
Eastern,Kabuleeta_IND,10532
Western,Kabuleeta_IND,16442
Central,Kabuleeta_IND,4270
Northern,Kalembe_IND,13438
Eastern,Kalembe_IND,14365
Western,Kalembe_IND,6360
Central,Kalembe_IND,4609
Northern,Katumba_IND,8929
Eastern,Katumba_IND,7133
Western,Katumba_IND,12933
Central,Katumba_IND,8559
Northern,Kyagulanyi_NUP,389584
Eastern,Kyagulanyi_NUP,901744
Western,Kyagulanyi_NUP,419624
Central,Kyagulanyi_NUP,1920485
Northern,Mao_DP,40688
Eastern,Mao_DP,6481
Western,Mao_DP,4280
Central,Mao_DP,6233
Northern,Mayamba_IND,8792
Eastern,Mayamba_IND,3646
Western,Mayamba_IND,1488
Central,Mayamba_IND,1088
Northern,Muntu_ANT,14324
Eastern,Muntu_ANT,8483
Western,Muntu_ANT,33147
Central,Muntu_ANT,11620
Northern,Mwesigye_IND,9226
Eastern,Mwesigye_IND,7682
Western,Mwesigye_IND,5659
Central,Mwesigye_IND,2916
Northern,Tumukunde_IND,19787
Eastern,Tumukunde_IND,11533
Western,Tumukunde_IND,14469
Central,Tumukunde_IND,5603
Northern,Museveni_NRM,1219352
Eastern,Museveni_NRM,1404092
Western,Museveni_NRM,2413873
Central,Museveni_NRM,1005581
