District_code,Region,District_Name,Normal_sources,Contaminated_Sources
1,Northern,LAMWO,33,1
2,Western,KAMWENGE,7,12
3,Eastern,JINJA,0,11
4,Eastern,BUGIRI,2,13
5,Eastern,IGANGA,2,9
6,Eastern,KAMULI,11,4
7,Eastern,KAYUNGA,9,1
8,Eastern,LUUKA,4,1
9,Eastern,BUGWERI,2,0
10,Central,MUBENDE,0,2
11,Central,WAKISO,0,9
12,Central,MUKONO,0,8
13,Central,LUWERO,10,4
14,Central,NAKASEKE,22,3
15,Central,NAKASONGOLA,7,3
16,Central,BUIKWE,7,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
