WaterSource_Code,District,Water_source,Contaminated,
1,Lamwo,UN23/0263,0,
2,Lamwo,UN23/0264,0,
3,Lamwo,UN23/0265,0,
4,Lamwo,UN23/0266,0,
5,Lamwo,UN23/0267,0,
6,Lamwo,UN23/0268,0,
7,Lamwo,UN23/0269,0,
8,Lamwo,UN23/0270,0,
9,Lamwo,UN23/0271,0,
10,Lamwo,UN23/0272,0,
11,Lamwo,UN23/0273,0,
12,Lamwo,UN23/0274,1,
13,Lamwo,UN23/0275,0,
14,Lamwo,UN23/0276,0,
15,Lamwo,UN23/0277,0,
16,Lamwo,UN23/0278,0,
17,Lamwo,UN23/0279,0,
18,Lamwo,UN23/0280,0,
19,Lamwo,UN23/0281,0,
20,Lamwo,UN23/0282,0,
21,Lamwo,UN23/0283,0,
22,Lamwo,UN23/0284,0,
23,Lamwo,UN23/0285,0,
24,Lamwo,UN23/0286,0,
25,Lamwo,UN23/0287,0,
26,Lamwo,UN23/0288,0,
27,Lamwo,UN23/0289,0,
28,Lamwo,UN23/0290,0,
29,Lamwo,UN23/0291,0,
30,Lamwo,UN23/0292,0,
31,Lamwo,UN23/0293,0,
32,Lamwo,UN23/0294,0,
33,Lamwo,UN23/0295,0,
34,Lamwo,UN23/0296,0,
35,Kamwenge,E22/03131,1,
36,Kamwenge,E22/03132,0,
37,Kamwenge,E22/02818,1,
38,Kamwenge,E22/02856,0,
39,Kamwenge,E22/02857,0,
40,Kamwenge,E22/02858,1,
41,Kamwenge,E22/02989,1,
42,Kamwenge,E22/02990,1,
43,Kamwenge,E22/02991,0,
44,Kamwenge,E22/02992,0,
45,Kamwenge,E22/02993,1,
46,Kamwenge,E22/02994,0,
47,Kamwenge,E22/02995,1,
48,Kamwenge,E22/02996,0,
49,Kamwenge,E22/04762,1,
50,Kamwenge,E22/04763,1,
51,Kamwenge,E22/04764,1,
52,Kamwenge,E22/04765,1,
53,Kamwenge,E22/04766,1,
54,Jinja,E23/00103,1,
55,Jinja,E23/00104,1,
56,Jinja,E23/00105,1,
57,Jinja,E23/00109,1,
58,Jinja,E22/00110,1,
59,Jinja,E23/00111,1,
60,Jinja,E23/00112,1,
61,Jinja,E23/00113,1,
62,Jinja,E23/00114,1,
63,Jinja,E23/00115,1,
64,Jinja,E23/00117,1,
65,Bugiri,E23/00090,1,
66,Bugiri,E23/00091,1,
67,Bugiri,E23/00092,1,
68,Bugiri,E23/00093,1,
69,Bugiri,E23/00094,1,
70,Bugiri,E23/00095,1,
71,Bugiri,E23/00096,1,
72,Bugiri,E23/00097,0,
73,Bugiri,E23/00098,1,
74,Bugiri,E23/00099,1,
75,Bugiri,E23/00100,0,
76,Bugiri,E23/00101,1,
77,Bugiri,E23/00102,1,
78,Iganga,E23/00075,1,
79,Iganga,E23/00076,1,
80,Iganga,E23/00077,1,
81,Iganga,E23/00079,1,
82,Iganga,E23/00081,1,
83,Iganga,E23/00082,0,
84,Iganga,E23/00083,0,
85,Iganga,E23/00085,1,
86,Iganga,E23/00087,1,
87,Kamuli,E22/09951,0,
88,Kamuli,E22/09952,0,
89,Kamuli,E22/09953,1,
90,Kamuli,E22/09954,0,
91,Kamuli,E22/09955,0,
92,Kamuli,E22/09958,0,
93,Kamuli,E22/09959,1,
94,Kamuli,E22/09960,0,
95,Kamuli,E22/09961,1,
96,Kamuli,E22/09962,0,
97,Kamuli,E22/09963,0,
98,Kamuli,E22/09964,1,
99,Kamuli,E22/09965,0,
100,Kamuli,E22/09969,0,
101,Kamuli,E22/09971,0,
102,Kayunga,E22/09973,0,
103,Kayunga,E22/09974,0,
104,Kayunga,E22/09975,0,
105,Kayunga,E22/09976,0,
106,Kayunga,E22/09977,0,
107,Kayunga,E22/09978,0,
108,Kayunga,E22/09979,0,
109,Kayunga,E22/09981,0,
110,Kayunga,E22/09982,0,
111,Kayunga,E22/09983,1,
112,Luuka,E22/04394,0,
113,Luuka,E22/04395,0,
114,Luuka,E22/04396,0,
115,Luuka,E22/04397,0,
116,Luuka,E22/04398,1,
117,Bugweri,E23/01851,0,
118,Bugweri,E23/01852,0,
119,Mubende,E23/01705,1,
120,Mubende,E23/01706,1,
121,Wakiso,E23/01710,1,
122,Wakiso,E23/01711,1,
123,Wakiso,E23/01712,1,
124,Wakiso,E23/01713,1,
125,Wakiso,E23/01714,1,
126,Wakiso,E23/01715,1,
127,Wakiso,E23/01716,1,
128,Wakiso,E23/01717,1,
129,Wakiso,E23/01717,1,
130,Mukono,E23/00118,1,
131,Mukono,E23/00119,1,
132,Mukono,E23/00121,1,
133,Mukono,E23/00122,1,
134,Mukono,E23/00127,1,
135,Mukono,E23/00128,1,
136,Mukono,E23/00129,1,
137,Mukono,E23/00074,1,
138,Luwero,E22/09382,1,
139,Luwero,E22/09383,1,
140,Luwero,E22/09384,0,
141,Luwero,E22/09385,1,
142,Luwero,E22/09387,1,
143,Luwero,E22/09390,0,
144,Luwero,E22/09391,0,
145,Luwero,E22/09392,0,
146,Luwero,E22/09393,0,
147,Luwero,E22/09394,0,
148,Luwero,E22/09398,0,
149,Luwero,E22/09399,0,
150,Luwero,E22/09420,0,
151,Luwero,E22/09421,0,
152,Nakaseke,E22/09400,0,
153,Nakaseke,E22/09401,0,
154,Nakaseke,E22/09402,1,
155,Nakaseke,E22/09403,0,
156,Nakaseke,E22/09405,0,
157,Nakaseke,E22/09406,0,
158,Nakaseke,E22/09408,0,
159,Nakaseke,E22/09409,0,
160,Nakaseke,E22/09410,0,
161,Nakaseke,E22/09411,1,
162,Nakaseke,E22/09412,1,
163,Nakaseke,E22/09413,0,
164,Nakaseke,E22/09414,0,
165,Nakaseke,E22/09415,0,
166,Nakaseke,E22/09416,0,
167,Nakaseke,E22/09417,0,
168,Nakaseke,E22/09418,0,
169,Nakaseke,E22/09419,0,
170,Nakaseke,E22/09420,0,
171,Nakaseke,E22/09421,0,
172,Nakaseke,E22/09422,0,
173,Nakaseke,E22/09423,0,
174,Nakaseke,E22/09424,0,
175,Nakaseke,E22/09425,0,
176,Nakaseke,E22/09426,0,
177,Nakasongola,E22/09422,0,
178,Nakasongola,E22/09423,0,
179,Nakasongola,E22/09424,0,
180,Nakasongola,E22/09425,0,
181,Nakasongola,E22/09426,1,
182,Nakasongola,E22/09427,0,
183,Nakasongola,E22/09428,1,
184,Nakasongola,E22/09429,1,
185,Nakasongola,E22/09430,0,
186,Nakasongola,E22/09431,0,
187,Buikwe,E22/09931,0,
188,Buikwe,E22/09934,0,
189,Buikwe,E22/09935,1,
190,Buikwe,E22/09936,0,
191,Buikwe,E22/09937,0,
192,Buikwe,E22/09942,0,
193,Buikwe,E22/09943,0,
194,Buikwe,E22/09945,0,
