WaterSource_Code,Region,District,Water_source,Contaminated,
1,Northern,Lamwo,UN23/0263,0,
2,Northern,Lamwo,UN23/0264,0,
3,Northern,Lamwo,UN23/0265,0,
4,Northern,Lamwo,UN23/0266,0,
5,Northern,Lamwo,UN23/0267,0,
6,Northern,Lamwo,UN23/0268,0,
7,Northern,Lamwo,UN23/0269,0,
8,Northern,Lamwo,UN23/0270,0,
9,Northern,Lamwo,UN23/0271,0,
10,Northern,Lamwo,UN23/0272,0,
11,Northern,Lamwo,UN23/0273,0,
12,Northern,Lamwo,UN23/0274,1,
13,Northern,Lamwo,UN23/0275,0,
14,Northern,Lamwo,UN23/0276,0,
15,Northern,Lamwo,UN23/0277,0,
16,Northern,Lamwo,UN23/0278,0,
17,Northern,Lamwo,UN23/0279,0,
18,Northern,Lamwo,UN23/0280,0,
19,Northern,Lamwo,UN23/0281,0,
20,Northern,Lamwo,UN23/0282,0,
21,Northern,Lamwo,UN23/0283,0,
22,Northern,Lamwo,UN23/0284,0,
23,Northern,Lamwo,UN23/0285,0,
24,Northern,Lamwo,UN23/0286,0,
25,Northern,Lamwo,UN23/0287,0,
26,Northern,Lamwo,UN23/0288,0,
27,Northern,Lamwo,UN23/0289,0,
28,Northern,Lamwo,UN23/0290,0,
29,Northern,Lamwo,UN23/0291,0,
30,Northern,Lamwo,UN23/0292,0,
31,Northern,Lamwo,UN23/0293,0,
32,Northern,Lamwo,UN23/0294,0,
33,Northern,Lamwo,UN23/0295,0,
34,Northern,Lamwo,UN23/0296,0,
35,Western,Kamwenge,E22/03131,1,
36,Western,Kamwenge,E22/03132,0,
37,Western,Kamwenge,E22/02818,1,
38,Western,Kamwenge,E22/02856,0,
39,Western,Kamwenge,E22/02857,0,
40,Western,Kamwenge,E22/02858,1,
41,Western,Kamwenge,E22/02989,1,
42,Western,Kamwenge,E22/02990,1,
43,Western,Kamwenge,E22/02991,0,
44,Western,Kamwenge,E22/02992,0,
45,Western,Kamwenge,E22/02993,1,
46,Western,Kamwenge,E22/02994,0,
47,Western,Kamwenge,E22/02995,1,
48,Western,Kamwenge,E22/02996,0,
49,Western,Kamwenge,E22/04762,1,
50,Western,Kamwenge,E22/04763,1,
51,Western,Kamwenge,E22/04764,1,
52,Western,Kamwenge,E22/04765,1,
53,Western,Kamwenge,E22/04766,1,
54,Eastern,Jinja,E23/00103,1,
55,Eastern,Jinja,E23/00104,1,
56,Eastern,Jinja,E23/00105,1,
57,Eastern,Jinja,E23/00109,1,
58,Eastern,Jinja,E22/00110,1,
59,Eastern,Jinja,E23/00111,1,
60,Eastern,Jinja,E23/00112,1,
61,Eastern,Jinja,E23/00113,1,
62,Eastern,Jinja,E23/00114,1,
63,Eastern,Jinja,E23/00115,1,
64,Eastern,Jinja,E23/00117,1,
65,Eastern,Bugiri,E23/00090,1,
66,Eastern,Bugiri,E23/00091,1,
67,Eastern,Bugiri,E23/00092,1,
68,Eastern,Bugiri,E23/00093,1,
69,Eastern,Bugiri,E23/00094,1,
70,Eastern,Bugiri,E23/00095,1,
71,Eastern,Bugiri,E23/00096,1,
72,Eastern,Bugiri,E23/00097,0,
73,Eastern,Bugiri,E23/00098,1,
